id	sale_price
584355288	28.79 BRL
584357783	28.79 BRL
593424784	844.79 BRL
610457742	153.59 BRL
638272839	95.99 BRL
638288988	86.39 BRL
643222646	57.59 BRL
645068652	172.79 BRL
647540764	1171.19 BRL
647546384	1391.99 BRL
647549031	1343.99 BRL
647551343	1430.39 BRL
647561866	1334.39 BRL
684416486	172.79 BRL
684416595	182.39 BRL
684417058	182.39 BRL
684417411	182.39 BRL
685768314	191.99 BRL
712453595	1535.99 BRL
712456070	1535.99 BRL
712457535	1535.99 BRL
712460994	1535.99 BRL
732953625	81.59 BRL
732953642	81.59 BRL
732953669	81.59 BRL
732953680	81.59 BRL
732953701	81.59 BRL
732953710	81.59 BRL
732953722	81.59 BRL
790512256	57.59 BRL
790513851	57.59 BRL
790516023	81.59 BRL
790516143	81.59 BRL
790516647	81.59 BRL
790517051	81.59 BRL
833272198	863.99 BRL
833272921	863.99 BRL
833273450	863.99 BRL
841978088	287.99 BRL
841978144	287.99 BRL
841978376	287.99 BRL
873968216	57.59 BRL
878789970	19.19 BRL
878790055	19.19 BRL
878803988	19.19 BRL
881924217	287.99 BRL
881988763	383.99 BRL
881990784	383.99 BRL
881991316	383.99 BRL
881991486	383.99 BRL
881991612	383.99 BRL
881991686	383.99 BRL
881991852	383.99 BRL
881992492	383.99 BRL
881992655	383.99 BRL
882012318	287.99 BRL
893225769	1151.99 BRL
893225800	931.19 BRL
893225867	863.99 BRL
893225925	863.99 BRL
893255416	835.19 BRL
893255447	902.39 BRL
893255476	835.19 BRL
893255509	835.19 BRL
893255544	758.39 BRL
893255567	863.99 BRL
893255588	902.39 BRL
893255599	835.19 BRL
893255622	777.59 BRL
893255632	863.99 BRL
893255646	863.99 BRL
893255664	758.39 BRL
893255688	854.39 BRL
893255708	844.79 BRL
893265763	854.39 BRL
893265803	854.39 BRL
893265822	863.98 BRL
893265862	854.39 BRL
893265875	854.39 BRL
893265886	854.39 BRL
893265918	854.39 BRL
893265937	854.39 BRL
893265957	854.39 BRL
909699386	931.19 BRL
934308407	184.31 BRL
934310394	184.31 BRL
934317127	47.99 BRL
934320261	38.39 BRL
934320631	38.39 BRL
934321275	38.39 BRL
934321641	38.39 BRL
934323767	38.39 BRL
944127327	124.79 BRL
944128348	124.79 BRL
944131033	124.79 BRL
944132498	124.79 BRL
944133524	124.79 BRL
944138069	81.59 BRL
969456047	67.19 BRL
969790805	67.19 BRL
969790821	67.19 BRL
969790825	67.19 BRL
969790880	67.19 BRL
969790892	67.19 BRL
969790898	67.19 BRL
969790903	67.19 BRL
969790917	67.19 BRL
969790922	67.19 BRL
