janela,data,numero_fatura,valor_total,campanha,imposto,situacao,arquivo
09-06 a 07-07,2026-06-26,FBADS-757-106183602,"10,53","9,25","1,28",paga,Glauber_Meta_2026-06-26_NF106183602.pdf
09-06 a 07-07,2026-06-26,FBADS-757-106183607,"2420,50","2126,42","294,08",paga,Glauber_Meta_2026-06-26_NF106183607.pdf
09-06 a 07-07,2026-06-26,FBADS-757-106185666,"1,60","1,41","0,19",paga,Glauber_Meta_2026-06-26_NF106185666.pdf
09-06 a 07-07,2026-06-26,FBADS-757-106185687,"945,02","830,20","114,82",paga,Glauber_Meta_2026-06-26_NF106185687.pdf
09-06 a 07-07,2026-06-28,FBADS-757-106194864,"436,59","383,55","53,04",paga,Glauber_Meta_2026-06-28_NF106194864.pdf
08-07 a 17-07,2026-07-09,FBADS-757-106247376,"807,63","709,51","98,12",paga,Glauber_Meta_2026-07-09_NF106247376.pdf
08-07 a 17-07,2026-07-09,FBADS-757-106247381,"227,66","200,00","27,66",paga,Glauber_Meta_2026-07-09_NF106247381.pdf
08-07 a 17-07,2026-07-11,FBADS-757-106256483,"4,88","4,29","0,59",paga,Glauber_Meta_2026-07-11_NF106256483.pdf
08-07 a 17-07,2026-07-11,FBADS-757-106256489,"1016,23","892,76","123,47",paga,Glauber_Meta_2026-07-11_NF106256489.pdf
08-07 a 17-07,2026-07-12,FBADS-757-106260977,"1,03","0,90","0,13",paga,Glauber_Meta_2026-07-12_NF106260977.pdf
08-07 a 17-07,2026-07-12,FBADS-757-106260980,"664,75","583,98","80,77",paga,Glauber_Meta_2026-07-12_NF106260980.pdf
08-07 a 17-07,2026-07-13,FBADS-757-106264859,"254,69","223,75","30,94",paga,Glauber_Meta_2026-07-13_NF106264859.pdf
08-07 a 17-07,2026-07-15,FBADS-757-106275382,"392,10","344,46","47,64",paga,Glauber_Meta_2026-07-15_NF106275382.pdf
08-07 a 17-07,2026-07-15,FBADS-757-106275385,"457,53","401,94","55,59",paga,Glauber_Meta_2026-07-15_NF106275385.pdf
08-07 a 17-07,2026-07-15,FBADS-757-106277936,"423,18","371,76","51,42",paga,Glauber_Meta_2026-07-15_NF106277936.pdf
