janela,data,numero_fatura,valor_total,campanha,imposto,situacao,arquivo
29-08 a 19-09,2026-09-12,FBADS-757-106575997,"0,76","0,67","0,09",paga,Glauber_Meta_2026-09-12_NF106575997.pdf
29-08 a 19-09,2026-09-12,FBADS-757-106576005,"11,73","10,30","1,43",paga,Glauber_Meta_2026-09-12_NF106576005.pdf
29-08 a 19-09,2026-09-13,FBADS-757-106579469,"316,05","277,65","38,40",paga,Glauber_Meta_2026-09-13_NF106579469.pdf
29-08 a 19-09,2026-09-14,FBADS-757-106586293,"4,00","3,51","0,49",paga,Glauber_Meta_2026-09-14_NF106586293.pdf
29-08 a 19-09,2026-09-14,FBADS-757-106586298,"525,61","461,75","63,86",paga,Glauber_Meta_2026-09-14_NF106586298.pdf
29-08 a 19-09,2026-09-14,FBADS-757-106586920,"67,96","59,70","8,26",paga,Glauber_Meta_2026-09-14_NF106586920.pdf
29-08 a 19-09,2026-09-14,FBADS-757-106586923,"11,73","10,30","1,43",paga,Glauber_Meta_2026-09-14_NF106586923.pdf
29-08 a 19-09,2026-09-14,FBADS-757-106587744,"243,99","214,35","29,64",paga,Glauber_Meta_2026-09-14_NF106587744.pdf
29-08 a 19-09,2026-09-15,FBADS-757-106594135,"5,08","4,46","0,62",paga,Glauber_Meta_2026-09-15_NF106594135.pdf
29-08 a 19-09,2026-09-15,FBADS-757-106594140,"671,16","589,62","81,54",paga,Glauber_Meta_2026-09-15_NF106594140.pdf
29-08 a 19-09,2026-09-16,(sem nº — aporte de saldo),"1,35",,,recusada,Glauber_Meta_2026-09-16_APORTE-SEM-NF_RECUSADA.pdf
29-08 a 19-09,2026-09-16,FBADS-757-106597446,"162,05","142,36","19,69",paga,Glauber_Meta_2026-09-16_NF106597446.pdf
29-08 a 19-09,2026-09-17,(sem nº — aporte de saldo),"4,71",,,recusada,Glauber_Meta_2026-09-17_APORTE-SEM-NF_RECUSADA.pdf
29-08 a 19-09,2026-09-17,(sem nº — aporte de saldo),"1000,00",,,recusada,Glauber_Meta_2026-09-17_APORTE-SEM-NF_RECUSADA_2.pdf
29-08 a 19-09,2026-09-17,FBADS-757-106603281,"4,71","4,14","0,57",paga,Glauber_Meta_2026-09-17_NF106603281.pdf
29-08 a 19-09,2026-09-18,(sem nº — aporte de saldo),"163,15",,,aporte de saldo,Glauber_Meta_2026-09-18_APORTE-SEM-NF.pdf
29-08 a 19-09,2026-09-18,(sem nº — aporte de saldo),"1,48",,,aporte de saldo,Glauber_Meta_2026-09-18_APORTE-SEM-NF_2.pdf
29-08 a 19-09,2026-09-18,(sem nº — aporte de saldo),"162,70",,,aporte de saldo,Glauber_Meta_2026-09-18_APORTE-SEM-NF_3.pdf
29-08 a 19-09,2026-09-18,FBADS-757-106606898,"1,46","1,28","0,18",paga,Glauber_Meta_2026-09-18_NF106606898.pdf
29-08 a 19-09,2026-09-18,FBADS-757-106606928,"159,35","139,99","19,36",paga,Glauber_Meta_2026-09-18_NF106606928.pdf
