id,title,brand,custom_label_0,custom_label_1,sale_price
9248,Mac Len Refil giz em pó - Unitário - Sortido,Mac Len,,,3.01 BRL
26032,Calcador para flor domestico - 20716,Roma Aviamentos,,,61.08 BRL
2990,"Trader Cordão trançado 1010 - 1,2 cm x 20m - 5806 - 10",Trader,,,44.25 BRL
2991,"Trader Cordão trançado 1010 - 1,2 cm x 20m - 5806 - 1010-2",Trader,,,44.79 BRL
2992,"Trader Cordão trançado 1010 - 1,2 cm x 20m - 5806 - 1010-1",Trader,,,44.25 BRL
727,Botão com Pé Reto 9087 Niquelado Liso - 50 unidades - 20 = 13mm,Roma Aviamentos,,TOPO_BUSCA,13.66 BRL
724,Botão com Pé Reto 9087 Niquelado Liso - 50 unidades - 32 = 20mm,Roma Aviamentos,,TOPO_BUSCA,19.67 BRL
6405,Corozita Botão 4 furos 4003 c/144 unidades - côco,Corozita,,TOPO_BUSCA,32.23 BRL
6407,Corozita Botão 4 furos 4003 c/144 unidades - côco - 20 = 13mm,Corozita,,TOPO_BUSCA,41.52 BRL
3853,Corozita Botão 2 furos perolado embalagem c/144 unidades 1020,Corozita,,TOPO_BUSCA,10.82 BRL
6406,Corozita Botão 4 furos 4003 c/144 unidades - côco - 24 = 15mm,Corozita,,TOPO_BUSCA,60.09 BRL
6408,Corozita Botão 4 furos 4003 c/144 unidades - côco - 18 = 11mm,Corozita,,TOPO_BUSCA,32.23 BRL
2988,Trader Cordão trançado 1267 com 20 metros - 5809 - 1267-2,Trader,,,38.13 BRL
2987,Trader Cordão trançado 1267 com 20 metros - 5809 - 10,Trader,,,38.13 BRL
2989,Trader Cordão trançado 1267 com 20 metros - 5809 - 1267-1,Trader,,,38.13 BRL
3124,Botão 4 Furos 1019/14 Brilho c/144 unidade - Corozita,Corozita,,,10.49 BRL
17167,Baxmann Grampo 12 pct. com 1000 unidades face funda - FOV-Ouro V. FF,Baxmann,,,86.31 BRL
3978,Corozita Botão 4 Furos 8111/18 c/144 unidades - Cores Fosca - BR-Branco,Corozita,,,9.29 BRL
3977,Corozita Botão 4 Furos 8111/18 c/144 unidades - Cores Fosca - 295-Verde,Corozita,,,9.29 BRL
3974,Corozita Botão 4 Furos 8111/18 c/144 unidades - Cores Fosca - PR-Preto,Corozita,,,9.29 BRL
3975,Corozita Botão 4 Furos 8111/18 c/144 unidades - Cores Fosca - 312-Rosa2,Corozita,,,9.29 BRL
31045,Nova Dubagem Bojo - Praia triângulo - 5 pares - Branco - BOJOP.TR - G-Triangulo,Nova Dubagem,,,22.94 BRL
31044,Nova Dubagem Bojo - Praia triângulo - 5 pares - Branco - BOJOP.TR - M-Triangulo,Nova Dubagem,,,22.94 BRL
4807,Botão de pressão - Ritas - Scovill - 1000 unidades - Preto,Ritas,,TOPO_BUSCA,80.30 BRL
2971,Trader Cordão trançado c/20m - 1026 - 10,Trader,,,47.97 BRL
2973,Trader Cordão trançado c/20m - 1026 - 1026-2,Trader,,,47.97 BRL
9288,Nybc Caixa de bobina caseira esquerda BCDB1 - 024730,Nybc,,,7.54 BRL
21866,Linetex Cadarço Sarjado - 35mm x 50mts - Cru - 11289,Linetex,,,59.00 BRL
17163,Baxmann Grampo 12 pct. com 1000 unidades face funda,Baxmann,,,86.31 BRL
17166,Baxmann Grampo 12 pct. com 1000 unidades face funda - FN-Niquel.FF,Baxmann,,,86.31 BRL
31239,Botão com Pé 9010 Ouro Velho liso - 50 unidades - 28 = 18mm,Roma Aviamentos,,TOPO_BUSCA,18.57 BRL
31237,Botão com Pé 9010 Ouro Velho liso - 50 unidades - 20 = 13mm,Roma Aviamentos,,TOPO_BUSCA,13.66 BRL
31241,Botão com Pé 9010 Ouro Velho liso - 50 unidades - 40 = 25mm,Roma Aviamentos,,TOPO_BUSCA,27.31 BRL
676,Botão com Pé 9010 Ouro Velho liso - 50 unidades,Roma Aviamentos,,TOPO_BUSCA,12.24 BRL
31240,Botão com Pé 9010 Ouro Velho liso - 50 unidades - 32 = 20mm,Roma Aviamentos,,TOPO_BUSCA,22.94 BRL
6099,"Trader Bordado Inglês de Algodão - 7cm x 13,7m - Branco - 107895",Trader,,TOPO_BUSCA,87.30 BRL
2467,FermoPlast Regulador de metal - Para sutiã - 100 unidades - Níquel - E302 - 8 mm,FermoPlast,,,3.83 BRL
24920,Marilda Aplique - Osso pelúcia - 5 unidades - 8804 - 8800 Rosa,Marilda,,,3.71 BRL
7846,"Molde para cueca adulto tam. P, M e G Nº 097 - 8829",Roma Aviamentos,,,28.96 BRL
9909,Corozita Botão 4 Furos 8111/20 c/144 unidades - Cores Fosca - 10,Corozita,,,12.02 BRL
31274,Velcro Fecho light rolo com 25 metros Branco - 25mm.,Velcro,,,35.53 BRL
6670,Velcro Fecho light rolo com 25 metros Branco - 38mm,Velcro,,,79.94 BRL
3983,Corozita Botão 4 Furos 8111/24 c/144 unidades - Cores Fosca - 250-Marinho2,Corozita,,TOPO_BUSCA,17.16 BRL
18869,Corozita Botão 4 Furos 8111/24 c/144 unidades - Cores Fosca - 8111-Gelo200,Corozita,,TOPO_BUSCA,17.16 BRL
3982,Corozita Botão 4 Furos 8111/24 c/144 unidades - Cores Fosca - 312-Rosa2,Corozita,,TOPO_BUSCA,17.16 BRL
22508,Botão com pé Reto - 50 unidades - Onix - 9087 - 20 = 13mm,Roma Aviamentos,,,13.66 BRL
22504,Botão com pé Reto - 50 unidades - Onix - 9087,Roma Aviamentos,,,13.66 BRL
22507,Botão com pé Reto - 50 unidades - Onix - 9087 - 28 = 18mm,Roma Aviamentos,,,18.24 BRL
17165,Baxmann Grampo 12 pct. com 1000 unidades face funda - FL-Latonado.FF,Baxmann,,,86.31 BRL
22505,Botão com pé Reto - 50 unidades - Onix - 9087 - 32 = 20mm,Roma Aviamentos,,,19.67 BRL
22506,Botão com pé Reto - 50 unidades - Onix - 9087 - 24 = 15mm,Roma Aviamentos,,,16.39 BRL
22510,Botão com pé Reto - 50 unidades - Onix - 9087 - 54 = 35mm,Roma Aviamentos,,,37.70 BRL
22509,Botão com pé Reto - 50 unidades - Onix - 9087 - 40 = 25mm,Roma Aviamentos,,,27.31 BRL
23306,Ponteira sininho 8009 Onix pct com 50un. - 6809,Roma Aviamentos,,,12.57 BRL
17164,Baxmann Grampo 12 pct. com 1000 unidades face funda - FGFT-Grafite.FF,Baxmann,,,86.31 BRL
